advertiser,category,business,location,address,city,state,zip,phone,website,email,ages,description,
,,Camp Victory,,363 Victory Circle,Samson,AL,36477, (334) 898.7948,campvictoryal.org,office@campvictoryal.org,2nd-12th Grade," Weekly sessions beginning, June 1  July 24;  coed camp. Air conditioned cabins. Activities include Giant Swing, Zipline, Swimming Pool, Volleyball, Bunker Ball, Riflery & Archery, Tetherball, Mini Golf, Canoes, Kayaks, Pedal Boats, Basketball, Crafts, Carpetball, Ping Pong, Foosball, Fishing, Low Ropes Challenge Course, Indoor Climbing Wall, Bible Classes, Outdoor Education, Missionary Presentations, Chapel Services and Cabin Devotions; Trained Christian staff who live in cabins with campers; evening chapel. Affiliated with the Childrens Bible Mission. ",
,,Camp Walkabout,,171 Baylor School Road,Chattanooga,TN,37405,"(423) 267.8506, Ext. 827",baylorschool.org,admission@baylorschool.org,Ages 8-16,"Camp Walkabout begins May 26--July 17, Discoverers (Ages 8-11), Adventurers (Ages 12-13) and Expeditioners(Ages 14-16).",
,,Camp Widjiwagan,,3088 Smith Springs Road,Antioch,TN,37013,(615) 360.2267,campwidji.org ,,Ages 6-15,Dates: May 24-August 7:  Ten sessions. Summer Camp for Boys and Girls.,
,,Cub Camp,,3067 Carter Hill Road,Montgomery,AL,36111,(800) 977.2688,tukabatcheebsa.org,,Grades 1st-5th,Session 1: June 13-14,
,,"Cub Scout Webelos Resident Camp, Camp Hobbs",,3067 Carter Hill Road,Montgomery,AL,36111,(800) 977.2688,tukabatcheebsa.org,,Grades 1st-5th,Session 1: June 18-21,
,,Experiment in International Living,,1015 15th Street Northwest,Washington ,DC,20005,(800) 345.2929,experiment.org,,10th-12th Grade,"July 1-August 1. Must have completed 9th grade. 3, 4 or 5-week programs. Foreign language studies a prerequisite for most sessions. ",
,,Falling Creek Camp for Boys,,P.O. Box 98,Tuxedo,NC,28784,(828) 692.0262,fallingcreek.com,,"1st-11th Grade, Boys","1 week sessions to 4 week sessions
Camp Dates: June 7-August 14.",
,,Lake Forest Ranch,,5326 Lake Forest Road,Macon,MS,39341,(662) 726.5052,lakeforestranch.com,info@lakeforestranch.com,Age varies by camp,"Sessions beginning May 30through July 26.
Summer camp experience for children (ages 7-12) and teenagers (ages 11-18).  There are ten exciting camp sessions available from which to choose.",
,,McWane Science Center Summer Camp,,200 19th Street North,Birmingham,AL,35203,(205) 714.8300,mcwane.org,,Age varies by camp,June 1-July 27                                                     Students entering 1st through 7th grade will be full day camps. Pre K-Kindergarten will remain half day camps.,
,,Moondance Adventures,,"209 10th Ave. South, Ste. 322",Nashville,TN,37203,(800) 832.5229,moondanceadventures.com,info@moondanceadeventures.com,Ages 12-18,"Dates: June 2-July 29; Length: 7, 14, 17, 21,  and 23  days. ",
,,North Carolina Outward Bound,,2582 Riceville Road,Asheville,NC,28805,(888) 756.2627,ncoutwardbound.com,challenge@ncobs.org,Ages 14+,Year Round Programs; Length: 4-78 days;  ,
,,Ponderosa Bible Camp,,1018 County Road,Mentone,AL,35984,(256) 634.4397,ponderosabiblecamp.com,,Age varies by camp,Dates:June 7-July 10 Length: One week;  and Leadership Training Program for 11th and 12th graders.,
,,"Rising Star, Savannah College of Art & Design",,P.O. Box 2072,Savannah,GA,31402,"(800) 869.7223 and
Atlanta, GA; (877) 722.3285",scad.edu/risingstar,contact@scad.edu,Rising 12th Grade, June 21-July 24.  Open to students who completed junior year of high school.,
,,Sail Caribbean,,"256 Main Street, STE# 1203",Northport,NY,11768,(800) 321.0994,sailcaribbean.com,bvi_office1@sailcaribbean.com,Ages 11-18+,June 6-August 16.   Length: Programs range from 14 to 36 days.,
,,Scouts BSA Summer Camp,Camp Tuckabatchee,2109 County Road 59,Prattville ,AL,36067,(334) 262.2697,tukabatcheebsa.org,,Ages 11-17,June 14-June 20,
,,Twin Lakes Camp,,155 Milner Road,Florence,MS,39073,(601) 845.6858,twinlakescamp.org,,Ages 6-12,Eight one-week sessions available from June 1-July 17. ,
,,U.S. Space Camp and Aviation Challenge,,One Tranquility Base,Huntsville,AL,35805,(800) 637.7223,spacecamp.com,,Ages 9 and up,"Dates: Runs year round; Summer Program is May -August, call for pricing.",
,,YMCA Camp Ocoee,,111 YMCA Drive,Ocoee,TN,37361,(423) 338.5588,campocoee.com,ocoee@ix.netcom.com,Age varies by camp,"May 31-July 25.  Ages: Ranger 7-15; Teen Leadership and Specialty Camps, 16-17.",
a,Special Needs,Camp ASCCA-Easter Seals,Camp ASCCA,5278 Camp ASCCA Drive ,Jackson Gap,AL,36861,(256) 825.9226,campascca.org,info@campascca.org,Age varies by camp,Six 1-week sessions. Ages 6 and up. Camps dates will be June 14-July 31.,
,,Camp Seale Harris,Camp ASCCA,5278 Camp ASCCA Drive ,Jackson Gap,AL,36861,(205) 402.0415,campsealeharris.org,"info@campsealeharris.org

",Age varies by camp,"Junior Camp (ages 6 - 13), June 7-12;
Senior Camp (ages 12 - 18),May 31-June 5;
Coastal Camp (ages 10-18), July 19-24.",
a,Sports Camps,Alabama Christian Academy Basketball Camp ,,4700 Wares ferry Road,Montgomery,AL,36109,(334) 277.1985,alabamachristian.org,,,Dates: TBA; Please call for more information.,
a,,Faulkner University Baseball Camp,Faulkner University,5345 Atlanta Hwy.,Montgomery,AL,36109,(334) 386.7980,faulknerbaseballcamps.com,pmmccarthy@faulkner.edu,,"Whether you are a youth player looking to receive top instruction from a college coach, or you are a high school player hoping to hone your skills to reach the next level, we have something to offer you! All players must bring their own baseball equipment including sneakers/turf shoes in case of inclement weather.
Youth Session I: TBD;
Youth Session II: TBD;
Morning Youth Fundamentals Session III: TBD",
a,,FC Montgomery Soccer Futsal,Capital City Sportsplex,5334 Atlanta Hwy.,Montgomery,AL,36117,(334) 498.4625,fcmontgomery.com,registrar@fcmontgomery.com,Ages 7-13,"Brazilian Soccer Futsal Indoor Camps (indoor/air conditioned)  Coach Bruno (Former pro & College coach - Masters Phy. Ed.)                                                 Camp Dates:  (All ages)                                                                   TBA, please check back on our website for dates. ",
a,,Macon East Academy Sports Camps,,15396 Vaughn Road,Cecil,AL,36013,(334) 277.6566,maconeast.net,,Age varies by camp,Elementary Softball Camp: June 16-18;           Elementary Baseball Camp: June 8-10;                     Lady Knights Volleyball Camp: June 8-10; Elementary Basketball Camp: June 22-24; ,
a,,Montgomery Academy,,3240 Vaughn Road,Montgomery,AL,36106,(334) 272.8210,montgomeryacademy.org,info@montgomeryacademy.org,Age varies by camp,"Soccer Camp: 1-7 Grade, TBA;  Cheer Camp: 1-6 Grade, TBA; Girls Basketball Summer Skillz Camp: 3-5 Grade, TBA; Taekwondo Camp: 1-5 Grade, TBA; Pass Set :BoomDaddy Bolleyball Camp: 3-7 Grade, TBA; Ultimate Games Camp: 1-5 Grade, TBA. Sports Camps can be combined with Camp Eagle. Please visit our website for more information and pricing.                                                ",
a,,Montgomery Catholic Preparatory Summer Camps,,5350 Vaughn Road,Montgomery,AL,36116,(334) 272.7221,montgomerycatholic.org,,Age varies by camp,"Baseball-TBA                                                                 Wrestling-TBA
Soccer_TBA
Basketbal-TBA
Volleyball-TBA
Softball-TBA
Tennis-TBA
Football-TBA
Cheer-TBA",
a,,OConnor Tennis Camps,,500 Anderson Street,Montgomery,AL,36107,(334) 240.4884,oconnortenniscenter.com,bbradshaw10s@gmail.com,Age varies by camp,"Summer Camps
Monday - Thursday
Age 4-6; 9:00-10:00 AM
Age 7-16; 9-11 a.m.                                                                        Dates:  TBA",
a,,Saint James School Sports Camps  ,,6010 Vaughn Road,Montgomery,AL,36116,"(334) 277.8033, ext. 145",stjmontgomery.org,,Age varies by camp,"Saint James School will continue its summer tradition of providing a variety of sports and cheerleader camps for young athletes. Printed information will be available soon and will include cost, age groups, and other pertinent information. See www.stjmontgomery.org more more details.

Softball: June 2026
Baseball: June 2026
Girls Basketball: June 2026
Girls Soccer: June 2026
Boys Soccer: June 2026
Boys Basketball: Beginners Camp & Elite Camp June 2026
Wrestling: July 2026
Volleyball: July 2026
Football: July 2026
Cheer: July 2026",
a,,Trinity Sports Camps,,1700 E. Trinity Blvd,Montgomery,AL,36106,(334) 213.2100,trinitywildcats.com,,Age varies by camp,"Baseball Camp, TBD ;Kindergarten through 6th grade;
Lady Wildcats Basketball; Dates TBD / 2nd-5th grade;
Basketball Camp (boys): Dates TBD/ 3rd-8th grade;
Dance Camp, TBD/ K3-5th grade;
Cheer Camp, TBD/ K3-5th grade;                                                       Softball Camp: Date TBD/ 1st-8th grade;
Football Camp, Dates: TBD;                                 ***more to come
Please refer to Trinity Presbyterian School website for more information at www.trinitywildcats.com/summercamps",
,,Auburn Tiger Football Camps,Auburn University,,Auburn,AL,36849,auburnfootballcamps.com,auburnfootballcamps.com,,"Grades 9th-12th, Age varies by camp","High School Elite Camp I, II and III : May 31, June 3, June 10 or June 21;                                                                                                                                                                                                               Highschool Big Man Camp OL/DL: June 4 and/or June 11;                                                                          Tigers Specialist Camp: June 10                                    ",
,,Auburn Tiger Junior Golf Camp,Auburn University,,Auburn,AL,36849,(334) 844.9657,auburntigergolfcamps.com,,Ages 8-18,June 8-11; This camp will benefit all ages and all skill levels from beginner to advanced. ,
,,Auburn Tiger Softball Camp,Auburn University,,Auburn,AL,36849,(334) 844.9515,auburntigers.com,,Grades 8-12th,"Elite Prospect Camp 1: June 9;
Summer Pitching and Catching Camp: June 15; Summer Hitting Camp: June 15;                                 Elite Prospect Camp II: June 16;                                   Elite Prospect Camp III: July 17",
,,Auburn Tiger Swim Camp,Auburn University,,Auburn,AL,26849,,auburnwareagleswimcamps.com,auswimcamps@gmail.com,Ages 10-18,Technique/Training Camp: May 26-30 and May 31-June 4;  Starts/Turns Camp: June 5-7; Sprint Camp: June 5-7 .  Please visit our website for more details.,
,,Auburn University Baseball Camps,Auburn University,,Auburn,AL,36849,(334) 844.4975,auburntigersbaseballcamp.com,,Age varies by camp,"Team Camp, TBA;                         Pitcher/Catching/Infield Camp, TBA;                     Youth Camp, (ages 7-12) TBA;                                      High school Showcase Camp, TBA.",
,,Auburn Volleyball Camp,Auburn University,,Auburn,AL,36849,(334) 844.9637 ,auburntigers.com,,Age varies by camp,"Elite Camp 1, TBA;                                                              Elite Camp II, TBA                                                                    Team Camp and Tournament, TBA;                                         All Skills Camp,TBA",
,,Auburn Womens Soccer Camps,Auburn University,,Auburn,AL,36849,(334) 844.9637,auburnsoccercamps.com,,Age varies by camp,June ID Camp: June 6-7;                                                  June Day Camp: June 8-11 ;                                        Auburn Soccer Goalkeeper Academy: June 20-21; Skills Academy: June 20-21;                                             Jr. Elite ID Camp: July 18-19 ,
,,AUM Sports Camps  ,,7400 East Drive,Montgomery,AL,36117,(334) 244.3000,aumathletics.com,,Age varies by camp,Dates to be announced in the spring. Please check our website for Camp information.,
,,Goldfish Swim School,,,Montgomery,AL,36117,(334) 373.1690,goldfishswimschool.com,,,"Register for our Jump Start Clinics! They are a great and easy way to get children ready to swim or progress toward their next swim level. Weekly this summer: 5 consecutive 30-minute lessons. Same time, same instructor.",
,,Huntingdon College Baseball Camps  ,,1500 East Fairview Ave.,Montgomery,AL,36106,(334) 833.4501,huntingdonhawks.com,,Age varies by camp," High School Showcase Skills Camp, Grades 9-12, ;
May 16; Summer Kids Camp 1, May 26-28; Summer Kids Camp II, June 2-4; Early Prospect Showcase Camp: August 15; ",
,,Huntingdon College Men's Basketball Camps  ,,1500 East Fairview Ave.,Montgomery,AL,36106,(334) 833.4399,huntingdonhawks.com,,Age varies by camp,"Elite Camp, May 31 for grades 9th-12th.",
,,Huntingdon College Men's Soccer I.D. Camp ,,1500 East Fairview Ave.,Montgomery,AL,36106,(334) 833.4316,hchawkssoccercamps.com,,Grades 9th-12th,Soccer I.D. Camp (Grades 9th-12th): Dates to be announced.                          ,
,,Huntingdon College Summer Youth Academy for Soccer,,1500 East Fairview Ave.,Montgomery,AL,36106,(334) 833-4316,hchawkssoccercamps.com,,Ages 5-13,Summer Youth Academy (Ages 5-13): Dates to be announced.,
,,Huntingdon College Women's Soccer I.D. Camp ,,1500 East Fairview Ave.,Montgomery,AL,36106,(334) 833.4316,hchawkssoccercamps.com,,Grades 9th-12th,Hawks Women's Soccer I.D. Camp (Grades 9th-12th): July 25                       ,
,,McCallie Sports Camp,,500 Dodds Avenue,Chattanooga,TN,37404,(800) 672.2267,mccallie.org,,Ages 9-15,"Length: Three 2-week sessions
MSC Session I: Monday, June 8-20; MSC Session II: Monday, June 22 - July 4;  MSC Session III: Monday, July 6-18.",
,,University of Alabama Baseball Camp,University of Alabama,,Tuscaloosa,AL,35487,(205) 348.8849,rolltide.com,,Age varies by camp,"Summer Youth Camp I, June 15-18 for grades K-8th; Elite Camp, July 12-14 for grades 7th -College Junior;  Summer Youth Camp II, July 27-30 for grades K-8th; Premier Prospect Camp, August 15-16for grades 7th - College Junior. ",
,,University of Alabama Football Camp,University of Alabama,,Tuscaloosa,AL,35487,(205) 348.0808,rolltide.com,,Age varies by camp,The University of Alabama has a wide selection of Football camps during the months of June and July. Age ranges for these camps are K-12th grade.,
,,University of Alabama Mens Basketball Camp,University of Alabama,,Tuscaloosa,AL,35487,(205) 348.4111,rolltide.com,,Age varies by camp,The University of Alabama has a wide selection of Basketball Camps. June 7-July 23.. Please visit our website for more details.,
,,University of Alabama Men's Golf Camp ,University of Alabama,,Tuscaloosa,AL,35487,(662) 418.4442,rolltide.com,,Ages 10-18,"Summer Camp I, June 8-10 for ages 10-18; Elite Exposure Camp, June 12-13 for Grades 9-11th; Summer Camp II, June 15-17 for ages 10-18.",
,,University of Alabama Soccer Camp,University of Alabama,,Tuscaloosa,AL,35487,(800) 933.BAMA,rolltide.com,,Age varies by camp,"Jspring I.D., March 14-15; Junior Elite Camp, July ; BAMA Goal Keeping Academy, July  and HS Elite ID Camp, July .",
,,University of Alabama Softball Camp,University of Alabama,,Tuscaloosa,AL,35487,(800) 933.BAMA,alabamasoftballcamp.com,,Age varies by camp,Two Summer Camp Sessions: Dates to be announced. Camp will cover all defensive positions.,
,,University of Alabama Womens Basketball Camp,University of Alabama,,Tuscaloosa,AL,35487,(205) 348.6164,rolltide.com,,Grades 9th-12th,"TBA. Camp is open to any and all entrants and only limited by number, age, grade level and/or gender.",
