advertiser,category,business,address,city,state,zip,phone,website,email,ages,description
,Tutoring,Enjoy Learning Center,"2801 Vaughn Plaza Rd., Suite H",Montgomery,AL,36116,(334) 625-9535,https://enjoylearningcenter.com,fb@enjoylearningcenter.com,,"One-on-one tutoring for ages 4 to adult. Math, science, chemistry, reading, comprehension, phonics, spelling, writing, graduation exit exam, ACT and SAT. Certified, skilled teachers. Credit/debit cards accepted."
,Tutoring,Huntington Learning Center,3251 Malcolm Drive,Montgomery,AL,36116,(334) 277-9200,https://huntingtonhelps.com,,,"One on one instruction in a specific course. Tutoring for K-12 in reading, all levels of math, study skills, writing, phonics, vocabulary and more. SAT, ACT PSAT, Advanced Placement test prep."
,Tutoring,Kumon Reading & Math Center,8115 Vaughn Rd,Montgomery,AL,36116,(334) 649-1178,https://kumon.com,montgomerysoutheast_al@ikumon.com,,After-school academic enrichment program that helps children achieve success. The Kumon Math program develops necessary skills to help children progress from counting through calculus. The Kumon Reading program begins with basic phonics and progresses all the way through advanced reading comprehension.
,Tutoring,MasterRead,"2815-C Zelda Rd.,",Montgomery,AL,36106,(334) 271-6295,,,,"Grades K-12 individual tutoring. Sessions for reading, comprehension, phonemic awareness, phonics, math, composition, spelling, study skills and ACT/SAT preparation and Exit Exam preparation."
,Tutoring,Read Write Learning Center,6752 Taylor Circle,Montgomery,AL,36116,(334) 328-2134,https://readwritelearningcenter.com,,,"Give your student the extra boost they need this year with Read Write! Read Write offers dyslexia testing and one-on-one therapy for students with language based learning disabilities. Our services include multisensory instruction in reading, math, grammar, writing and comprehension. We also offer early intervention for 4 and 5 year olds, which promotes a strong foundation for early literacy."
,Tutoring,Success Unlimited,2328 Fairlane Drive,Montgomery,AL,36106,(334) 213-0803,https://suacademy.com,,,Tutoring available for any subject. Tutoring provided by Christian certified teachers. Please call for rates.
,Tutoring,Sylvan Learning Center,4240 Lomac St.,Montgomery,AL,36106,(334) 262-0043,https://sylvanlearning.com/Montgomery,cd@montgomerysylvan.com,,Sylvan Learning Center offers: Reading and Math Individualized tutoring with a diagnostic evaluation ACT/SAT Test Prep Homework Support Study Skills Credit Recovery The River Region Academy is an AdvancEd/SACS Accredited School for grades K-12 with a low student teacher ratio and individualized instruction.
,Tutoring,Sylvan Learning of Prattville,2046 Farivew Ave.,Prattville,AL,36066,(334) 380-4144,https://sylvanlearning.com/Prattville,,,"Sylvan offers tutoring and individualized test prep for all math, reading, writing and more. We offer ACT/SAT Test prep. Monthly packages are available for Academic Coaching. Call or come by today for more information."
,Volleyball,CCJ,5334 Atlanta Hwy.,Montgomery,AL,36109,(866) 942-2509,https://Capitalcityjuniors.com,info@capitalcityjuniors.com,,"Capital City Juniors is the premier organization for girls club volleyball in Montgomery. Our mission is to blend passion with perspective and to combine the love of the sport and intensity with knowledge, integrity and discipline. We train girls from 6-18 from beginners to competitive teams."
,Volleyball,Next Level Volleyball Club,,Montgomery,AL,36117,,,nxtlevelvolleyballclub@gmail.com,,Come join us and develop yours skills essetial to the game of volleyball.
,Volleyball,Play Like Winners Volleyball Club,,Montgomery,AL,,,https://playlikewinners.com,,,PLW Academy that is designed to help enhance the volleyball skills and techniques of our youth in group training sessions.
