Advertiser,Category,Business,Address,City ,State,Zip,Phone,Website,Facebook,Email,Description
,Tutoring,MasterRead,"2815-C Zelda Rd., ",Montgomery,AL,36106,(334) 271.6295,,Masterread Learning Center,,"Grades K-12 individual tutoring. Sessions for reading, comprehension, phonemic awareness, phonics, math, composition, spelling, study skills and ACT/SAT preparation and Exit Exam preparation."
,Tutoring,Mathnasium,3453 Malcolm Drive,Montgomery,AL,36116,(334) 239.8132,mathnasium.com/eastmontgomery,Mathnasium of East Montgomery,eastmontgomery@mathnasium.com,"We specialize in teaching kids math the way that makes sense to them. We provide: Expert tutors, Custom learning plans and personalized instruction, and Homework help. "
,Tutoring,Read Write Learning Center,6752 Taylor Circle,Montgomery,AL,36116,(334) 328.2134,readwritelearningcenter.com,Read Write Montgomery,montgomeryoffice@readwritelearningcenter,"Give your student the extra boost they need this year with Read Write! Read Write offers dyslexia testing and one-on-one therapy for students with language based learning disabilities. Our services include multisensory instruction in reading, math, grammar, writing and comprehension. We also offer early intervention for 4 and 5 year olds, which promotes a strong foundation for early literacy. "
,Tutoring,Success Unlimited,2328 Fairlane Drive,Montgomery,AL,36106,(334) 213.0803,suacademy.com,Success Unlimited Academy,,Tutoring available for any subject. Tutoring provided by Christian certified teachers. Please call for rates.
,Tutoring,Sylvan Learning of Prattville,2046 Farivew Ave.,Prattville,AL,36066,(334) 380.4144,sylvanlearning.com/Prattville ,Sylvan Learning Prattville,,"Sylvan offers tutoring and individualized test prep for all math, reading, writing and more. We offer ACT/SAT Test prep.  Monthly packages are available for Academic Coaching. Call or come by today for more information.  "
,Volleyball,CCJ,5334 Atlanta Hwy.,Montgomery,AL,36109,(866) 942.2509,Capitalcityjuniors.com,Capital City Juniors Volleyball Club,info@capitalcityjuniors.com,"Capital City Juniors is the premier organization for girls club volleyball in Montgomery. Our mission is to blend passion with perspective and to combine the love of the sport and intensity with knowledge, integrity and discipline. We train girls from 6-18 from beginners to competitive teams."
,Volleyball,Next Level Volleyball Club,,Montgomery,AL,36117,,,Next Level Volleyball Club,nxtlevelvolleyballclub@gmail.com,Come join us and develop yours skills essetial to the game of volleyball. 
,Miscellaneous,Caesar Chess,,Montgomery,AL,,334-868-0271,,Caesar Chess,CaesarChess@gmail.com,"Teaching kids to play chess in metro Montgomery.
** Public ** Private ** Homeschooled **
Caesar Lawrence – Director & Chess Coach"
,Miscellaneous,Michaels,"East Chase Market Center, 7991 Eastchase Pkwy",Montgomery,AL,36117,(334) 260.2846,michaels.com,,,"Learn crafting skills when and where you want with online classes from Creativebug, or sign up for in store classes in jewelry making, art painting, paper crafting, mixed media, floral design, cake decorating or knitting and crocheting. 
Please visit your local Michaels’ for class descriptions, times and fees.
"
,Miscellaneous,Snapology,,Montgomery,AL,,(334) 325.4679,,Snapology of The River Region,riverregion@snapology.com,"Ages 6-14.  Take time off your hands while your kids play, learn, and make life long friends. We offer amazing themes for our camps and workshops year-round including spring break camps and summer camps.  Please call or visit our website or on Facebook under Snapology of the River Region. Please call for more information on classes being offered near you."
,Miscellaneous,,,,,,,,,,Please contact us if you know of after school activities not listed at editor@montgomeryparents.com.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
