title,start_date,start_time,end_date,end_time,location,address,email,phone,website,cost,description
The Steel City Jug Slammers: Live at The Lyric,"Saturday, May 30, 2026",6:00?PM,,9:00?PM,"124 West Main Street, Prattville, AL, 36067",,thelyric@prattvilleal.gov,,https://thelyricatesthers.com/events,,"The Steel City Jug Slammers are an authentic American Jug Band from Birmingham, Alabama playing pre-WWII jug band and blues classics as well as weaving originals of their own. The Band is Ramblin' Ricky Tate, Jerrod Atkins, C.W. Medders, & Washtub Jay. The Steel City Jug Slammers were inducted into the Jug Band Hall of Fame in 2017 and featured on NPR's A Prairie Home Companion in 2015. Don't miss this awesome concert featuring classic American roots music!"
Exhibition on Screen: Frida Kahlo,"Sunday, May 31, 2026",1:00 PM,,3:30 PM,Montgomery Museum of Fine Arts,"1 Museum Drive, Montgomery, AL 36117",,,https://mmfa.org/event/exhibition-on-screen-frida-kahlo-2,"Cost: Regular: $14, Capri Member: $12.","These showings of films by Exhibition on Screen are presented at the Capri Theatre and accompanied by introductions from MMFA staff, offering audiences fully enriched arts experiences."
An afternoon of music with Thick Editions and guest Dylan Hawes-Glynn,"Sunday, May 31, 2026",3:00pm,,4:30pm,The NewSouth Bookstore,"105 S. Court Street, Montgomery, AL 36104",,,https://www.newsouthbookstore.com/events,,"Kick off summer with some great sounds at The NewSouth Bookstore! On Sunday, May 31 at 3pm we welcome Thick Editions, a legendary local improv group starring Jeff McLeod, Marshall Marrotte, and Tracy Harris — on guitar, bass, and drums, respectively — all longtime stalwarts of the underground Southeastern music scene. If you love music, you will love the heady mixture of written and improvised stuff this group always concocts. Dylan Hawes-Glynn, a multi-instrumentalist and composer from Nashville, opens for them on vibraphone. Fun!"
Zoofari Summer Camp,"June 1-5, 2026",8:30 AM,,4:30 PM,Montgomery Zoo and Mann Wildlife Museum,"2301 Coliseum Parkway, Montgomery, Alabama 36110",dcrowe@montgomeryal.gov,(334) 625-4909,https://www.montgomeryal.gov/Home/Components/Calendar/Event/8015/4288,Montgomery Zoo Members: $210/week Non-Zoo Members: $230/week Extended care: $25/week,Join us for Zoofari Summer Camp at the Montgomery Zoo and Mann Wildlife Learning Museum. The perfect way for your camper to enjoy a WILD summer. Summer camp is designed for boys and girls to enjoy a full-day zoo experience filled with adventure and fun. Your camper will experience a fun and educational week here at the Montgomery Zoo. Each day will follow an animal theme and will include coordinating activities. Advanced reservations required. This allows the opportunity to prepare for the proper number of participants. No tickets will be sold at the door on the day of the event!
Chicken and Biscuits,"June 4 - 21, 2026",,,,Alabama Shakespeare Festival,"1 Festival Drive, Montgomery, AL 36117",,,https://asf.net/chicken-biscuits,,"The Broadway comedy following sisters Baneatta and Beverly as they reunite at their father's funeral offers a healthy serving of humor, heart and familial drama. This production is recommended for children age 14+."
Legends of Country Rock,"Friday, June 5, 2026",7:30 PM,,,Montgomery Performing Arts Centre,"201 Tallapoosa Street, Montgomery, AL 36104",,,https://mpaconline.org/legends-of-country-rock,Ticket Prices: $37.50 - $77.50 Additional fees may apply.,"Orleans, Firefall, Pure Prairie League, Atlanta Rhythm Section."
AEG & MPAC Live Presents MC Lightfoot 10th Anniversary One Night Stand,"Saturday, June 6, 2026",8:00 PM,,,Montgomery Performing Arts Centre,"201 Tallapoosa Street, Montgomery, AL 36104",,,https://mpaconline.org/mc-lightfoot,Ticket Prices: $25 - $60 Additional fees may apply.,Comedian actor host. I live to do it all. I've worked with some of the greats looking to try to become great myself until then I gonna make you laff.
"Patricia Smith with her National Book Award-Winning poetry collection, ""The Intentions of Thunder""","Tuesday, June 9, 2026",5:30pm,,7:00pm,The NewSouth Bookstore,"105 S. Court Street, Montgomery, AL 36104",,,https://www.newsouthbookstore.com/events,,"We are honored to host Patricia Smith for a program at The NewSouth Bookstore, a talk about and reading from her 2025 National Book Award-winning book, The Intentions of Thunder. Smith is a poet, spoken-word performer, playwright, author, and writing teacher, whose work has been called life-changing, ""abundant, brilliant, and unprecedented."" Don't miss her Montgomery appearance!"
Creekwalk Concert Summer Series,"June 9 & 23, July 14 & 28",6:30 p.m,,,Spillway Park in downtown Prattville,,,,https://prattvilleal.gov/departments/special-events/creekwalk-concert-summer-series,,"The concerts will feature different artists or bands and food trucks to create a fun environment for the public to enjoy. Attendees are encouraged to bring blankets or chairs, and friends to share the memories!"
Military Appreciation Day,"Thursday, June 11, 2026",9:00 AM,,4:00 PM,Montgomery Zoo and Mann Wildlife Museum,"2301 Coliseum Parkway, Montgomery, Alabama 36110",zooinfo@montgomeryal.gov,Montgomery Area Chamber of Commerce at (334) 834-5200; Montgomery Zoo at (334) 625-4900,https://www.montgomeryal.gov/Home/Components/Calendar/Event/9242/4288?npage=2,,"The Montgomery Zoo and Mann Wildlife Learning Museum are proud to honor our nation's heroes with Military Appreciation Day. As a heartfelt thank-you to those who serve, all active-duty and retired military personnel and their dependent family members will receive FREE admission to the Zoo and Museum for the entire day. In addition to free admission, guests can enjoy complimentary food, drinks, and refreshments provided in the Zoo's Main Events area from 11:30am to 2:00pm."
"""Our Founding Fathers and Civic Virtue"": A talk by Keith Krawczynski","Thursday, June 11, 2026",5:30pm,,7:00pm,The NewSouth Bookstore,"105 S. Court Street, Montgomery, AL 36104",,,https://www.newsouthbookstore.com/events,,"Kicking off our bookstore's America 250 celebrations is Keith Krawczynski, author and Distinguished Professor of History at AUM, where he has taught for 25 years; his areas of specialty include Colonial America. Krawczynski will speak about our nation's Founding Fathers as the topic relates to civic virtue. Our Founding Fathers understood that the United States was a national experiment on republican government."
Father's Day at Zoo,"Sunday, June 14, 2026",9:30 AM,,3:30 PM,Montgomery Zoo and Mann Wildlife Museum,"2301 Coliseum Parkway, Montgomery, Alabama 36110",zooinfo@montgomeryal.gov,(334) 625-4905,https://www.montgomeryal.gov/Home/Components/Calendar/Event/6046/4288?npage=2,,"A big thank you to all the Dads out there. With much gratitude and appreciation of your dedicated and loyal service to our sons and daughters, please celebrate Father's Day at the Montgomery Zoo and Mann Wildlife Learning Museum. All Dads receive FREE admission to the Montgomery Zoo and the Mann Wildlife Learning Museum. Join us for Dad's special day. Let's celebrate and honor all the DADs in our lives."
"Juneteenth Holiday, Zoo/Museum OPEN","Friday, June 19, 2026",9:30 AM,,3:30 PM,Montgomery Zoo and Mann Wildlife Museum,"2301 Coliseum Parkway, Montgomery, Alabama 36110",zooinfo@montgomeryal.gov,(334) 625-4905,https://www.montgomeryal.gov/Home/Components/Calendar/Event/9625/4288?npage=2,,We look forward to seeing you and your family enjoy this holiday exploring the great outdoors and the continents of the world while visiting the Montgomery Zoo and Mann Wildlife Learning Museum. Come enjoy the sights and sounds of the Montgomery Zoo during a holiday weekend.
Prattville Cruise In,"Saturday, June 20, 2026",16:00,,7:00 p.m,124 W Main Street,,bixlerslawnservice@gmail.com,(334) 313-3852,https://prattvilleal.gov/departments/special-events/prattville-cruise-in,,"The City of Prattville and the Heart of Dixie Mustang Club present the Prattville Cruise In, a lively car show packed with classic and unique rides. A free concert begins at 6:00 p.m."
Vince Gill 50 Years from Home 2026 Tour,"Monday, June 22, 2026",7:00 PM,,,Montgomery Performing Arts Centre,"201 Tallapoosa Street, Montgomery, AL 36104",,,https://mpaconline.org/vince-gill,Ticket Prices: $66 - $136 Additional fees may apply.,"One of the most popular and most recorded singers of the past thirty years, music icon Vince Gill today announced a portion of his upcoming tour dates. The 22-time Grammy winner and highly acclaimed musician, songwriter, vocalist, and producer will embark on a summer tour beginning June 18 and including a six-night residency in Nashville at the historic Ryman Auditorium."
When A Woman's Fed Up,"Saturday, June 27, 2026",8:00 PM,,,Montgomery Performing Arts Centre,"201 Tallapoosa Street, Montgomery, AL 36104",,,https://mpaconline.org/when-a-womans-fed-up,Ticket Prices: $49 - $64 Additional fees may apply.,"A compelling stage play that delves into the intricate web of various types of relationships, focusing on the challenges women face and the empowering journey of self-discovery when they reach the point of no return. ""When a Woman's Fed Up"" delivers a message of empowerment and liberation, encouraging the audience to have compassion, break free from societal expectations, embrace their independence and prioritize their own happiness."
Puzzling Adventures Scavenger Hunt,Daily through May 2026,,,,"205 Bibb St, Montgomery, AL 36104",,support@puzzlingadventures.com,(888) 433-8966,https://puzzlingadventures.com/buynow.php?code=EVENTPASS,"Puzzling Adventures Scavenger Hunt 10:00 AM to 8:00 PM. 205 Bibb St, Montgomery, AL 36104. Puzzling Adventures blend a scavenger hunt, adventure race, and self-guided walking tour, where participants solve clues and puzzles at various locations. Teams of any size can compete or explore leisurely, with most adventures wheelchair- and stroller-friendly; pricing is per team, with smaller groups recommended for the best experience. $39.95 with $10 EVENTPASS discount - price per team - online registration required.","Puzzling Adventures blend a scavenger hunt, adventure race, and self-guided walking tour, where participants solve clues and puzzles at various locations. Teams of any size can compete or explore leisurely, with most adventures wheelchair- and stroller-friendly; pricing is per team, with smaller groups recommended for the best experience. x"
Cottage Hill Scavenger Hunt: Cottage Hill Capers Treasure Hunt,Daily through May 2026,8:00 AM,,5:00 PM,"300 Water St, Montgomery, AL 36104",,support@letsroam.com,(833) 202-7626,https://www.letsroam.com/scavenger-hunt/montgomery-al/cottage-hill,$14.99,"Explore the heart of Montgomery, Alabama on an exciting scavenger hunt through historic Cottage Hill, where rich heritage and fascinating stories come to life. Discover iconic landmarks like the Hank Williams Museum, Freedom Rides Museum, and Montgomery Union Station as you journey through moments that shaped history."
Newcomers Club Get Acquaited Coffee,Every Weekday,10:00 AM,,11:30 AM,"Prevail Union, P. O. Box 241946, Montgomery, AL 36124",,newcomersmontgomery@gmail.com,,https://newcomersofmontgomery.com/special-events,Annual membership just $25.,"Ladies new to Montgomery—or just looking to make new friends—are invited to our FREE ""Get Acquainted Coffee"" to meet members and learn about fun activities like Book Club, Mah Jongg, Arts & Crafts, and more. This relaxed, come-as-you-are event highlights 12 activity groups, social events, and monthly luncheons."
Breakfast & Billiards,Every Monday,9:00 AM,,11:00 AM,Chisholm Community Center,"545 E. Vandiver Blvd., Montgomery, Alabama 36110",,(334) 659-7681,https://www.montgomeryal.gov/play/city-events,,"Senior adults are invited to join Breakfast & Billiards every Monday in May, except Monday, May 25, in observance of Memorial Day. Each weekly gathering features a light breakfast, including juice and coffee, along with a variety of engaging activities. These free sessions are designed to help senior adults make new friends, stay active, and remain socially connected—and no prior experience is needed to participate in any activity."
MGM Runs Hosts Joggers 'N Lagers,"Every Monday through September 7, 2026",6:00 PM,,,"Common Bond Brewers, LLC","424 Bibb Street, Suite 150, Montgomery, AL 36104",,,https://www.facebook.com/events/766129136325527/766129296325511/?active_tab=about,,"Runners, walkers, and everything in between are welcome for easy miles in historic downtown Montgomery!"
Tacos & Tallboys Tuesday,Every Tuesday,,,,Montgomery Biscuits Baseball,"200 Coosa Street, Montgomery, AL 36104",,,https://experiencemontgomeryal.org/event/tacos-%26-tallboys-tuesday/2047,,
Preschool Story Time,Every Tuesday,10:30 AM,,11:30 AM,Autauga-Prattville Public Library,"254 Doster St Prattville, AL 36067",,(334) 365-3396,https://appl.info,,"Story Time, crafts and activities are designed for children ages 3 – 5 years. Siblings are welcome."
May Mindfulness: Lunch Time Yoga,Every Tuesday,11:30 AM,,12:15 PM,Chisholm Community Center,"545 E. Vandiver Blvd. Montgomery, Alabama 36110",,(334) 659-7681,https://www.montgomeryal.gov/play/city-events,,"The Chisholm Community Center will also host free Lunch Time Yoga Classes every Tuesday. All experience levels and ages are welcome. Participants are encouraged to bring a yoga mat if they wish, along with a water bottle. These sessions offer a relaxing midday wellness break tailored to help citizens stay flexible, energized, and engaged."
Thrifty Tuesdays,Every Tuesday,12:00 PM,,3:30 PM,Montgomery Zoo and Mann Wildlife Museum,"2301 Coliseum Parkway, Montgomery, Alabama 36110",zooinfo@montgomeryal.gov,(334) 625-4905,https://www.montgomeryal.gov/Home/Components/Calendar/Event/8199/4288?npage=2,,"Hot admission discounts, Thrifty Tuesdays at Montgomery Zoo: The Montgomery Zoo is proud to announce our summer discounted admissions promotion, THRIFTY TUESDAYS. Receive 50% OFF admissions every Tuesday afternoon, during June and July. Tickets must be purchased in person, 12pm (noon) - 3:30pm (Tuesdays only) in order to receive the discounted admission. This discount cannot be combined with any other discount, coupon, and/or offer."
Lagoon Park Golfaholic League,Every Tuesday,5:30 PM,,,Lagoon Park Golf Course,"2855 Lagoon Park Drive, Montgomery, AL 36109",,(334) 240-4050,https://www.playmontgomerygolf.com/lagoon-park-golfaholics-league,$35 per person,"Join our weekly Golfaholic 9-hole league every Tuesday for a fun shotgun scramble where you can meet new friends, enjoy prizes, snacks, and drink specials. Played as a 4-person scramble (we'll pair you up!), no long-term commitment is required—sign up by 2:45 PM each week and play as often as you like."
The Weekly Wedge,Every Tuesday,7:00 PM,,,Hilltop Public House,"3 N Goldthwaite St, Montgomery, AL 36104",,,https://experiencemontgomeryal.org/event/the-weekly-wedge/2359,,Weekly Trivia.
Wheelchair Clinic Montgomery,Every Tuesday through May 2026,6:00 PM,,8:00 PM,O'Connor Tennis Center,"500 Anderson St Montgomery, AL 36107",,,https://www.dreamcourt.org,,Wheelchair Clinic Montgomery
Open Studio with Montgomery Art Center,Every Wednesday,10:00 AM,,4:00 PM,"450 N Hull Street, Montgomery , AL 36106",,,,https://experiencemontgomeryal.org/event/open-studio-with-montgomery-art-center/347,Free - with membership or $5 non-members.,"Join us weekly for Open Studio, a family-friendly, all-ages event where you can create your own art, discuss ideas, and watch artists at work in a welcoming, creative space. It's a great opportunity to connect with the community and share in the joy of art."
Circle Time for Toddlers,Every Wednesday,10:30 AM,,11:30 AM,Autauga-Prattville Public Library,"254 Doster St Prattville, AL 36067",,(334) 365-3396,https://appl.info,,"Circle Time, crafts and activities are designed for children ages 18mo – 3years. Siblings are welcome."
Little Explorers,Every Wednesday,10:30 AM,,11:30 AM,Autauga-Prattville Public Library,"254 Doster St Prattville, AL 36067",,(334) 365-3396,https://appl.info,,"Come have fun with art, crafts and different activities at the Marbury Library! This fun activity time is designed for children ages 2 – 6 years. Siblings are welcome!"
Friends n Kin Board Game Night,Every First Wednesday,5:00 PM,,10:00 PM,The Sanctuary,"432 S. Goldthwaite Street, Montgomery, AL 36104",,,https://linktr.ee/friends.n.kin1,,"Bring your authentic self for an inclusive night of board gaming -- solo, coupled, or with kids, we'll have a game for everyone... classics, Eurogames, cards, co-ops, legacy, and party games. Free event, snacks for sale, BYOB -- and donations much appreciated! Kids' games & movie available -- family-friendly atmosphere no matter what shape your family takes... you are welcome here!"
Classes with Anthony Ezell,Every Wednesday & Thursday,6:00 PM,,8:00 PM,Armory Learning Arts Center,"1018 Madison Avenue, Montgomery, AL",,(334) 625-2581,https://experiencemontgomeryal.org/event/classes-with-anthony-ezell/2525,$75 per month,
STEAM Team,Every Thursday,4:00 PM,,5:00 PM,Autauga-Prattville Public Library,"254 Doster St Prattville, AL 36067",,(334) 365-3396,https://appl.info/events/month/2026-05,,This program is for children ages 7 – 12 years. Activities are designed for children in the 3rd – 5th grades.
Food Trucks at Common Bond,Every Thursday,5:00 PM,,8:00 PM,"Common Bond Brewers, LLC 424 Bibb Street, Suite 150 Montgomery, AL 36104","424 Bibb Street, Suite 150, Montgomery, AL 36104",,,https://experiencemontgomeryal.org/event/food-trucks-at-common-bond/1456,,"Funky Forte Food Truck will be at the CBB Taproom serving burgers, wraps, sandwiches, and fries alongside Common Bond beer, with Thirsty Thursday specials adding to the fun. Join in for great food, drinks, and good times, and catch them again next Thursday at the same spot."
Trivia Night at Eddy's,Every Thursday,7:00 PM,,9:00 PM,Montgomery Whitewater,"1100 Maxell Boulevard, Montgomery, AL 36104",info@montgomerywhitewater.com,(334) 746-6530,https://montgomerywhitewater.com/upcoming-events/trivia-night-at-eddys,,"Join us for a fun-filled night of trivia, drinks, and great prizes at Montgomery Whitewater! Bring friends and family for laughter, competition, and themed nights—there's something for everyone."
"Montgomery's Art, Eats & Beats",Every Third Thursday,4:00 PM,,8:00 PM,,,,,https://www.montgomeryal.gov/Home/Components/News/News/4647/16,,"Main Street Montgomery launches Art, Eats & Beats, a free monthly event on the third Friday, offering art, live music, food, and family-friendly fun throughout the entertainment district from the Riverfront to S. Court Street. Guests can explore local art, enjoy special refreshments, and take advantage of exclusive deals from over two dozen participating businesses. For details and participating businesses, visit www.mainstreetmontgomery.org or the Art, Eats & Beats Facebook event page."
Baby Stay and Play,Every Friday,10:30 AM,,11:30 AM,Autauga-Prattville Public Library,"254 Doster St Prattville, AL 36067",,(334) 365-3396,https://appl.info,,"This song, story and play time is designed for babies newborn to 18 months. Siblings are welcome."
Meet Me,Every Friday,11:00 AM,,11:30 AM,Montgomery Museum of Fine Arts,"1 Museum Drive, Montgomery, AL 36117",,,,This program is free and open to the public.,"Meet us in the galleries for a captivating 30-minute talk where we explore details about one work in our permanent collection. Registration is not required. Upcoming Meet Me Schedule: May 1 at Columns at Philae May 8 at The Lover May 15 at Street in Tangier May 22 at Circus May 29 at Composition Around Red, Pennsylvania June 5 at George Washington June 12 at Voices of Silence June 26 at I, John Brown July 10 at Lost Americans July 17 at V4 July 24 at Georgia O'Keeffe July 31 at The Great American Pastime: The Negro Baseball League"
Live Acoustic Street Performance,Every Friday,8:00 PM,,9:00 PM,Corner of Tallapoosa and Commerce Street,,,,https://experiencemontgomeryal.org/event/live-acoustic-street-performance/339,,Free live acoustic set every Friday night at the corner of Tallapoosa and Commerce street in downtown! Come out anytime between 8p-9p and enjoy the beautiful music!!
Literary Road Trip,Every 1st Friday through July 2026,8:00 AM,,5:00 PM,Autauga-Prattville Public Library,"254 Doster St Prattville, AL 36067",,(334) 365-3396,https://appl.info,,"Adult patrons are invited to take a six-month literary road trip by reading seven books, each set in a different region of the United States. Complete the map by July 3, 2026, for a chance to win a grand prize or one of two runner-up prizes."
Beats And Eats Food Truck Fridays,Every 4th Friday (March through June),5:30 PM,,8:30 PM,,Spillway Park,,(334) 595-0850,https://prattvilleal.gov/departments/special-events/beats-and-eats,,"This event series is a collaboration of local food trucks and the raw talent of musicians in our community! Bringing together live music, a relaxed community atmosphere, and a curated lineup of food trucks."
Farmers Market at the Shoppes at EastChase,Every Saturday,7:00 AM,,12:00 PM,Shoppes at EastChase,"7274 EastChase Parkway, Montgomery, AL 36117",,,https://www.facebook.com/eastchase,,"Get ready to shop 'til you CROP! The annual EastChase Farmers Market is opening! The market will be located near Sephora and H&M. This year is going to be bigger and better than ever with all of your favorite vendors and some fun, new vendors! Shop 20+ Certified local vendors! The market has everything from produce and homemade jellies and jams to locally grown honey and the best boiled peanuts around! The market is held every Saturday their new location! This event is rain or shine."
Prattville Farmers Market,Every Saturday,7:00 AM,,12:00 PM,"203 West 4th Street, Prattville, AL 36067",,,,https://prattvilleal.gov/departments/special-events/prattville-farmers-market,,"The market will feature fresh, locally grown fruits and vegetables, along with local honey, homemade baked goods, jams, jellies, eggs, handmade bath and body products, plants, and more! The Prattville Farmers Market is conveniently located on Doster Road, just a few blocks off Main Street. The market is in the Grove across from Pratt Park, which makes it a wonderful place for a family outing."
2026 Nature School: SPRING SESSION,Every Saturday,9:00 AM,,11:00 AM,,"1100 Maxwell Blvd, Montgomery, Alabama 36104",info@montgomerywhitewater.com,(334) 746-6530,https://montgomerywhitewater.com/upcoming-events/nature-school,,"Nature School, presented by Max Credit Union, is a hands-on outdoor program where students explore local plants, animals, and ecosystems through activities, journaling, and collaborative games, fostering curiosity, confidence, and a lifelong connection to nature. Led by experienced instructors, small group classes emphasize observation, problem-solving, teamwork, and environmental stewardship, helping children grow while learning to care for the world around them."
Planetarium at Oak Park,Every Saturday,9AM,,2:30PM,W.A. Gayle Planetarium,"1010 Forest Avenue, Montgomery, AL 36106",,,https://www.montgomeryzoo.com/experiences/planetarium-at-oak-park,,"Exciting Shows Coming to the Planetarium. The W.A. Gayle Planetarium at Oak Park is excited to present an engaging lineup of shows. Visitors of all ages can experience breathtaking journeys through space and time with the following schedule. OPEN for GENERAL PUBLIC . Admission is $7.50 per person for ages 3 and up.Children under 3 years of age are admitted FREE. For more information or to schedule a group visit, please contact the planetarium at (334) 625-4799, gayleplanetarium@montgomeryal.gov or visit the Facebook page."
Military Appreciation Night,Every 1st Saturday of the Month,,,,Montgomery Biscuits Baseball,"200 Coosa Street, Montgomery, AL 36104",,,,,
River Region Bonsai (monthly meeting),Every 1st Saturday of the Month,9:00 AM,,11:00 AM,,"3295 Wetumpka Hwy, Montgomery, AL 36110",jkgarner@yahoo.com,(334) 233-0942,https://www.facebook.com/groups/riverregionbonsai/about,,"Our monthly meeting to discuss and learn the art of bonsai. All are welcome. If you have a bonsai, bring it for help. We offer workshops, instruction, fellowship and help. If you have been looking at bonsai but afraid to try your hand at it, then come. We want you to enjoy this ancient art form."
Montgomery Community Monthly Drum Circle,Every 1st Saturday of the Month,12:00 PM,,1:30 PM,The Sanctuary,"432 S. Goldthwaite Street, Montgomery, AL 36104",booking-sanctuary@jubileemgm.org,(310) 925-0801,https://www.facebook.com/mgm1communitydrumcircle,,"Join us for a joyful, inclusive Community Drum Circle! Hosted by Timikel Blakey Sharpe, this event welcomes all ages and skill levels to connect, create rhythms, and celebrate community. No experience needed—drums, sticks, and shakers provided, or bring your own. For more details, visit the Montgomery Community Drum Circle Facebook Page."
Sunday Brunch at Eddy's,Every Sunday,10:00 AM,,6:00 PM,Montgomery Whitewater,"1100 Maxwell Blvd, Montgomery, Alabama 36104",info@montgomerywhitewater.com,(334) 746-6530,https://montgomerywhitewater.com/upcoming-events/sunday-brunch,,"On Sunday, we brunch! Brunch is served from 10 am to 6 pm, with live patio music from 1 pm to 4 pm."
Old Cloverdale Spring Concert Series,Every Sunday,4:00 PM,,,Cloverdale Bottom Park,"3124 Cloverdale Road, Montgomery, AL 36106",,,https://www.facebook.com/CloverdaleIdlewild,,"Our Spring Concert Series kicks off. We hope you will spend your Spring Sunday afternoons with us in the park! Bring your chairs, picnic blankets, and coolers!"
Live Entertainment Calendar!,"Every Sunday, Friday, Saturday (May 2026)",6:00 PM,,9:00 PM,Itta Bena,"1801 Eddie L Tullis Road, Montgomery, AL 36117",,,https://ittabenadining.com/montgomery/menu,,Enjoy Live Music and Entertainment every Weekend by some of the River Regions best!.
BB King's Blues Club May Calendar!,"Every Sunday, Wednesday, Thursday, Friday, Saturday (through May 2026)",6:00 PM,,,BB Kings Blues Club,"1801 Eddie L Tullis Road, Montgomery, AL 36117",,,https://www.opentable.com/r/bb-kings-montgomery-montgomery,,"B.B. King's Blues Club in Montgomery combines live blues, soul, and rock with Southern comfort cuisine, from lip-smacking ribs to shrimp & grits, in a lively, family-friendly atmosphere. Enjoy unforgettable music, signature cocktails, and a venue perfect for both casual nights out and special occasions."
